CABra dataset - Additional attributes
 
longitude_centroid and latitude_centroid are the XY coordinates of the catchment centroid.
dist_coast is the distance to the nearest coast.
 
  CABra ID	     ANA ID	   longitude_centroid	    latitude_centroid	 dist_coast
          	           	                   dd	                   dd	         km
         1	   13880000	              -68.028	               -8.989	    1407.55
         2	   14110000	              -66.695	                2.016	    1009.09
         3	   14230000	              -68.936	                1.573	    1009.70
         4	   14250000	              -67.305	                1.734	    1095.42
         5	   14260000	              -70.894	                1.201	     964.52
         6	   14280001	              -70.710	                1.129	    1040.41
         7	   14300000	              -70.060	                0.296	     909.13
         8	   14330000	              -68.245	                1.383	    1139.56
         9	   14420000	              -67.828	                0.792	    1026.96
        10	   14495000	              -62.962	                3.426	     417.68
        11	   14515000	              -62.509	                3.530	     409.61
        12	   14550000	              -60.494	                4.678	     319.73
        13	   14680001	              -62.720	                2.730	     495.35
        14	   14710000	              -61.612	                3.265	     574.54
        15	   15030000	              -69.870	               -4.089	     755.96
        16	   15050000	              -59.026	              -15.051	    1222.10
        17	   15120001	              -59.855	              -15.672	    1168.84
        18	   15250000	              -63.306	              -15.528	     995.24
        19	   15320002	              -65.023	              -14.740	    1090.48
        20	   15430000	              -63.177	              -10.483	    1237.37
        21	   15431000	              -62.814	               -9.971	    1246.87
        22	   15432000	              -63.401	              -10.017	    1233.50
        23	   15550000	              -63.670	               -9.660	    1282.34
        24	   15558000	              -61.032	              -12.395	    1240.97
        25	   15560000	              -61.455	              -11.849	    1241.38
        26	   15580000	              -61.743	              -11.055	    1316.47
        27	   15630000	              -64.794	              -14.045	    1316.36
        28	   15700000	              -64.654	              -13.709	    1061.74
        29	   15750000	              -59.373	              -11.025	    1207.95
        30	   15800000	              -59.667	               -9.543	    1105.46
        31	   15830000	              -60.165	               -9.876	    1077.87
        32	   15910000	              -58.970	               -7.578	     908.86
        33	   16700000	              -55.915	                2.391	     381.85
        34	   17050001	              -67.141	               -6.525	     313.90
        35	   17090000	              -55.277	               -0.466	     240.72
        36	   17093000	              -58.918	              -13.146	    1246.23
        37	   17120000	              -56.680	              -13.121	    1216.52
        38	   17200000	              -54.726	              -14.266	    1353.80
        39	   17280000	              -55.437	              -13.274	    1159.95
        40	   17340000	              -55.536	              -12.492	     993.31
        41	   17345000	              -54.850	               -9.249	     891.90
        42	   17350000	              -54.765	               -9.607	     940.20
        43	   17730000	              -56.962	              -10.068	     466.58
        44	   18200000	              -54.476	               -0.755	     188.79
        45	   18250000	              -53.741	               -3.933	     248.42
        46	   18280000	              -55.103	                2.023	     376.20
        47	   18420000	              -54.517	              -13.663	    1272.07
        48	   18460000	              -53.200	              -11.464	     517.85
        49	   18650000	              -54.738	               -7.413	     491.15
        50	   18850000	              -53.233	               -9.003	     168.86
        51	   19100000	              -52.534	                0.150	      95.51
        52	   19150000	              -53.524	                0.989	      93.30
        53	   20050000	              -48.181	              -15.279	     993.69
        54	   20250000	              -49.591	              -15.779	    1007.05
        55	   21500000	              -46.823	              -14.545	     831.45
        56	   21850000	              -46.613	              -12.260	     885.47
        57	   22680000	              -46.763	              -10.346	     803.64
        58	   22700000	              -46.811	              -10.323	     808.69
        59	   22900000	              -47.199	              -10.169	     754.85
        60	   23100000	              -47.864	              -12.536	     656.72
        61	   23250000	              -46.981	               -8.223	     565.59
        62	   23300000	              -47.817	              -12.006	     540.00
        63	   23600000	              -47.793	              -11.753	     440.59
        64	   23700000	              -47.775	              -11.604	     405.91
        65	   24050000	              -53.211	              -17.658	    1005.85
        66	   24200000	              -52.753	              -16.992	    1068.02
        67	   24500000	              -53.537	              -16.539	    1141.68
        68	   24700000	              -52.938	              -16.537	    1076.78
        69	   24750000	              -51.434	              -16.809	     994.86
        70	   24780000	              -51.861	              -16.701	    1002.76
        71	   24800000	              -51.628	              -16.613	    1055.20
        72	   24850000	              -52.602	              -16.539	    1068.38
        73	   24900000	              -50.821	              -16.744	     949.26
        74	   24950000	              -50.756	              -16.428	    1023.94
        75	   25130000	              -50.455	              -15.856	    1031.22
        76	   25200000	              -52.028	              -16.323	    1110.86
        77	   25700000	              -51.802	              -16.052	    1223.60
        78	   25950000	              -51.414	              -15.619	    1172.03
        79	   26050000	              -54.087	              -15.283	    1185.27
        80	   26100000	              -53.729	              -15.182	    1198.61
        81	   26300000	              -52.650	              -14.485	    1075.20
        82	   26350000	              -52.279	              -14.220	     997.03
        83	   27500000	              -51.127	              -13.295	     622.40
        84	   28150000	              -48.662	               -7.371	     509.17
        85	   28300000	              -50.909	              -12.604	     430.76
