CABra dataset - General attributes
 
gauge_hreg, gauge_biome, and gauge_state are the hydrographic region, biome and Brazilian state which is located the streamflow gauge.
missing_data is the percentage of missing data in the daily time series records of the catchment.
series_length is the number of complete years of records in the catchment.
quality_index is the integrity of data records in the streamflow, considering the two previous attributes (missing_data and series_length).
 
  CABra ID	     ANA ID	  longitude	   latitude	                     gauge_hreg	          gauge_biome	 gauge_state	 missing_data	 series_length	   quality_index
          	           	         dd	         dd	                               	                     	          	            %	        years	                
         1	   13880000	    -64.384	     -6.541	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         2	   14110000	    -66.851	      1.215	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         3	   14230000	    -67.595	      1.074	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         4	   14250000	    -67.313	      0.372	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         5	   14260000	    -69.126	      0.477	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         6	   14280001	    -68.538	      0.130	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         7	   14300000	    -69.786	      0.248	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         8	   14330000	    -66.797	     -0.192	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
         9	   14420000	    -64.829	     -0.491	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
        10	   14495000	    -61.037	      3.446	                         Amazon	               Amazon	        RR	         1.11	           28	           98.96
        11	   14515000	    -60.569	      3.209	                         Amazon	               Amazon	        RR	         0.84	           29	           99.19
        12	   14550000	    -60.529	      4.168	                         Amazon	               Amazon	        RR	         1.58	           27	           98.58
        13	   14680001	    -61.441	      2.876	                         Amazon	               Amazon	        RR	         1.38	           29	           98.67
        14	   14710000	    -61.122	      1.820	                         Amazon	               Amazon	        RR	         1.12	           29	           98.91
        15	   15030000	    -59.329	     -3.147	                         Amazon	               Amazon	        AM	         0.01	           29	           99.99
        16	   15050000	    -59.354	    -15.215	                         Amazon	               Amazon	        MT	         6.57	           26	           94.31
        17	   15120001	    -59.960	    -15.007	                         Amazon	               Amazon	        MT	         0.00	           30	          100.00
        18	   15250000	    -65.349	    -10.793	                         Amazon	               Amazon	        RO	         0.00	           30	          100.00
        19	   15320002	    -65.367	     -9.705	                         Amazon	               Amazon	        RO	         9.25	           27	           91.67
        20	   15430000	    -63.068	     -9.926	                         Amazon	               Amazon	        RO	         1.71	           27	           98.46
        21	   15431000	    -62.985	     -9.887	                         Amazon	               Amazon	        RO	         0.00	           30	          100.00
        22	   15432000	    -63.288	     -9.759	                         Amazon	               Amazon	        RO	         0.00	           30	          100.00
        23	   15550000	    -63.711	     -8.801	                         Amazon	               Amazon	        RO	         2.08	           26	           98.20
        24	   15558000	    -61.193	    -11.686	                         Amazon	               Amazon	        RO	         5.13	           27	           95.38
        25	   15560000	    -61.936	    -10.873	                         Amazon	               Amazon	        RO	         5.28	           27	           95.24
        26	   15580000	    -62.055	     -8.932	                         Amazon	               Amazon	        RO	         5.75	           26	           95.02
        27	   15630000	    -63.016	     -7.478	                         Amazon	               Amazon	        AM	         1.20	           28	           98.88
        28	   15700000	    -61.303	     -5.794	                         Amazon	               Amazon	        AM	         0.99	           28	           99.07
        29	   15750000	    -59.465	    -10.170	                         Amazon	               Amazon	        MT	         2.51	           28	           97.66
        30	   15800000	    -60.592	     -7.706	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
        31	   15830000	    -60.647	     -7.208	                         Amazon	               Amazon	        AM	         0.00	           30	          100.00
        32	   15910000	    -59.056	     -6.787	                         Amazon	               Amazon	        AM	         0.19	           29	           99.81
        33	   16700000	    -55.958	      2.226	                         Amazon	               Amazon	        PA	         8.31	           25	           93.08
        34	   17050001	    -55.513	     -1.921	                         Amazon	               Amazon	        PA	         0.00	           30	          100.00
        35	   17090000	    -54.873	     -1.502	                         Amazon	               Amazon	        PA	         0.00	           30	          100.00
        36	   17093000	    -58.338	    -11.358	                         Amazon	               Amazon	        MT	         3.89	           28	           96.37
        37	   17120000	    -57.425	    -11.536	                         Amazon	               Amazon	        MT	         0.75	           28	           99.30
        38	   17200000	    -55.335	    -13.557	                         Amazon	              Cerrado	        MT	         1.21	           27	           98.91
        39	   17280000	    -55.703	    -11.652	                         Amazon	               Amazon	        MT	         8.37	           24	           93.30
        40	   17340000	    -55.569	    -10.113	                         Amazon	               Amazon	        MT	         6.30	           26	           94.54
        41	   17345000	    -54.905	     -9.359	                         Amazon	               Amazon	        PA	         4.13	           25	           96.56
        42	   17350000	    -54.887	     -9.817	                         Amazon	               Amazon	        MT	         0.00	           30	          100.00
        43	   17730000	    -55.953	     -4.276	                         Amazon	               Amazon	        PA	         3.09	           25	           97.42
        44	   18200000	    -54.397	     -1.782	                         Amazon	               Amazon	        PA	         0.00	           30	          100.00
        45	   18250000	    -53.559	     -3.677	                         Amazon	               Amazon	        PA	         7.23	           27	           93.49
        46	   18280000	    -54.659	      1.218	                         Amazon	               Amazon	        PA	         0.00	           30	          100.00
        47	   18420000	    -54.447	    -13.141	                         Amazon	               Amazon	        MT	         5.93	           23	           95.45
        48	   18460000	    -51.985	     -6.740	                         Amazon	               Amazon	        PA	         4.19	           27	           96.23
        49	   18650000	    -54.523	     -5.650	                         Amazon	               Amazon	        PA	         4.41	           23	           96.62
        50	   18850000	    -52.163	     -3.227	                         Amazon	               Amazon	        PA	         1.39	           29	           98.66
        51	   19100000	    -52.579	     -0.554	                         Amazon	               Amazon	        AP	         0.00	           30	          100.00
        52	   19150000	    -52.568	     -0.571	                         Amazon	               Amazon	        AP	         0.00	           30	          100.00
        53	   20050000	    -48.675	    -14.979	             Tocantins-Araguaia	              Cerrado	        GO	         4.52	           28	           95.78
        54	   20250000	    -49.553	    -15.275	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        55	   21500000	    -46.837	    -13.763	             Tocantins-Araguaia	              Cerrado	        GO	         3.23	           29	           96.88
        56	   21850000	    -47.198	    -12.417	             Tocantins-Araguaia	              Cerrado	        TO	         9.27	           26	           91.96
        57	   22680000	    -47.472	     -9.994	             Tocantins-Araguaia	              Cerrado	        TO	         0.00	           30	          100.00
        58	   22700000	    -47.674	     -9.962	             Tocantins-Araguaia	              Cerrado	        TO	         0.00	           30	          100.00
        59	   22900000	    -47.932	     -9.309	             Tocantins-Araguaia	              Cerrado	        TO	         0.00	           30	          100.00
        60	   23100000	    -48.110	     -8.390	             Tocantins-Araguaia	              Cerrado	        TO	         0.00	           30	          100.00
        61	   23250000	    -47.312	     -7.708	             Tocantins-Araguaia	              Cerrado	        TO	         2.09	           28	           98.05
        62	   23300000	    -47.481	     -7.337	             Tocantins-Araguaia	              Cerrado	        TO	         1.11	           29	           98.92
        63	   23600000	    -47.390	     -6.289	             Tocantins-Araguaia	              Cerrado	        TO	         0.00	           30	          100.00
        64	   23700000	    -47.463	     -5.789	             Tocantins-Araguaia	              Cerrado	        TO	         0.00	           30	          100.00
        65	   24050000	    -53.217	    -17.301	             Tocantins-Araguaia	              Cerrado	        GO	         0.84	           29	           99.19
        66	   24200000	    -52.548	    -16.201	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        67	   24500000	    -53.549	    -16.078	             Tocantins-Araguaia	              Cerrado	        MT	         0.00	           30	          100.00
        68	   24700000	    -52.228	    -15.891	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        69	   24750000	    -51.470	    -16.303	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        70	   24780000	    -51.817	    -16.430	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        71	   24800000	    -51.852	    -15.890	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        72	   24850000	    -51.829	    -15.737	             Tocantins-Araguaia	              Cerrado	        MT	         0.00	           30	          100.00
        73	   24900000	    -50.997	    -16.513	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        74	   24950000	    -51.357	    -15.935	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        75	   25130000	    -50.706	    -15.537	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        76	   25200000	    -51.084	    -14.915	             Tocantins-Araguaia	              Cerrado	        MT	         0.00	           30	          100.00
        77	   25700000	    -50.803	    -13.690	             Tocantins-Araguaia	              Cerrado	        GO	         0.00	           30	          100.00
        78	   25950000	    -50.588	    -13.211	             Tocantins-Araguaia	              Cerrado	        MT	         0.00	           30	          100.00
        79	   26050000	    -53.053	    -15.249	             Tocantins-Araguaia	              Cerrado	        MT	         0.57	           29	           99.45
        80	   26100000	    -52.355	    -14.672	             Tocantins-Araguaia	              Cerrado	        MT	         0.56	           29	           99.46
        81	   26300000	    -50.963	    -12.293	             Tocantins-Araguaia	              Cerrado	        MT	         0.00	           30	          100.00
        82	   26350000	    -50.660	    -11.618	             Tocantins-Araguaia	              Cerrado	        MT	         0.39	           28	           99.63
        83	   27500000	    -49.249	     -8.273	             Tocantins-Araguaia	               Amazon	        TO	         0.00	           30	          100.00
        84	   28150000	    -48.612	     -7.146	             Tocantins-Araguaia	               Amazon	        TO	         0.67	           28	           99.38
        85	   28300000	    -48.550	     -6.401	             Tocantins-Araguaia	               Amazon	        PA	         0.00	           30	          100.00
        86	   28850000	    -48.143	     -5.648	             Tocantins-Araguaia	               Amazon	        PA	         0.00	           30	          100.00
        87	   29050000	    -49.136	     -5.327	             Tocantins-Araguaia	               Amazon	        PA	         0.00	           30	          100.00
        88	   29100000	    -49.220	     -5.488	             Tocantins-Araguaia	               Amazon	        PA	         2.68	           27	           97.59
        89	   29700000	    -49.663	     -3.757	             Tocantins-Araguaia	               Amazon	        PA	         2.28	           27	           97.95
        90	   30300000	    -52.016	      0.901	                         Amazon	               Amazon	        AP	         0.00	           30	          100.00
        91	   30400000	    -51.439	      0.711	                         Amazon	               Amazon	        AP	         0.00	           30	          100.00
        92	   31700000	    -47.764	     -2.509	             Tocantins-Araguaia	               Amazon	        PA	         0.00	           30	          100.00
        93	   32450002	    -46.593	     -1.735	     Eastern Northeast Atlantic	               Amazon	        PA	         6.23	           26	           94.60
        94	   32620000	    -46.316	     -1.800	     Eastern Northeast Atlantic	               Amazon	        PA	         0.00	           30	          100.00
        95	   32740000	    -45.948	     -2.056	     Eastern Northeast Atlantic	               Amazon	        MA	         1.55	           27	           98.60
        96	   32830000	    -45.667	     -2.945	     Eastern Northeast Atlantic	               Amazon	        MA	         0.49	           29	           99.52
        97	   33025000	    -46.934	     -4.692	     Eastern Northeast Atlantic	               Amazon	        MA	         6.00	           23	           95.40
        98	   33170000	    -45.778	     -4.033	     Eastern Northeast Atlantic	               Amazon	        MA	         1.97	           24	           98.42
        99	   33190000	    -45.465	     -3.660	     Eastern Northeast Atlantic	               Amazon	        MA	         0.00	           30	          100.00
       100	   33205000	    -45.982	     -5.767	     Eastern Northeast Atlantic	              Cerrado	        MA	         0.00	           30	          100.00
       101	   33250000	    -45.245	     -5.501	     Eastern Northeast Atlantic	              Cerrado	        MA	         0.00	           30	          100.00
       102	   33260000	    -44.963	     -5.102	     Eastern Northeast Atlantic	              Cerrado	        MA	         0.00	           30	          100.00
