CABra dataset - Geology attributes
 
catch_lith is the most common lithologic class in the catchment.
sub_porosity is subsurface porosity.
sub_permeability is the subsurface permeability.
sub_hconduc is the subsurface hydraulic conductivity.
 
  CABra ID	     ANA ID	                          catch_lith	  sub_porosity	  sub_permeability	  sub_hconduc
          	           	                                    	              	           log(m²)	   log(m s¯¹)
         1	   13880000	     Siliciclastic sedimentary rocks	         0.192	           -14.306	       -7.306
         2	   14110000	                 Acid plutonic rocks	         0.055	           -13.883	       -6.883
         3	   14230000	                        Metamorphics	         0.070	           -13.413	       -6.413
         4	   14250000	                 Acid plutonic rocks	         0.064	           -13.679	       -6.679
         5	   14260000	     Siliciclastic sedimentary rocks	         0.129	           -14.073	       -7.073
         6	   14280001	     Siliciclastic sedimentary rocks	         0.133	           -13.996	       -6.996
         7	   14300000	                 Acid plutonic rocks	         0.033	           -13.095	       -6.095
         8	   14330000	                 Acid plutonic rocks	         0.087	           -13.687	       -6.687
         9	   14420000	            Unconsolidated sediments	         0.107	           -13.512	       -6.512
        10	   14495000	                        Metamorphics	         0.026	           -14.047	       -7.047
        11	   14515000	                        Metamorphics	         0.042	           -13.786	       -6.786
        12	   14550000	     Siliciclastic sedimentary rocks	         0.140	           -13.967	       -6.967
        13	   14680001	                        Metamorphics	         0.010	           -14.038	       -7.038
        14	   14710000	                        Metamorphics	         0.066	           -13.599	       -6.599
        15	   15030000	            Unconsolidated sediments	         0.169	           -13.901	       -6.901
        16	   15050000	                 Acid plutonic rocks	         0.125	           -13.386	       -6.386
        17	   15120001	            Unconsolidated sediments	         0.125	           -13.216	       -6.216
        18	   15250000	             Mixed sedimentary rocks	         0.152	           -13.781	       -6.781
        19	   15320002	             Mixed sedimentary rocks	         0.167	           -13.923	       -6.923
        20	   15430000	                        Metamorphics	         0.015	           -13.989	       -6.989
        21	   15431000	                        Metamorphics	         0.010	           -13.630	       -6.630
        22	   15432000	                 Acid plutonic rocks	         0.010	           -14.074	       -7.074
        23	   15550000	                        Metamorphics	         0.059	           -13.406	       -6.406
        24	   15558000	     Siliciclastic sedimentary rocks	         0.185	           -14.305	       -7.305
        25	   15560000	     Siliciclastic sedimentary rocks	         0.150	           -14.345	       -7.345
        26	   15580000	                        Metamorphics	         0.110	           -14.026	       -7.026
        27	   15630000	             Mixed sedimentary rocks	         0.160	           -13.865	       -6.865
        28	   15700000	             Mixed sedimentary rocks	         0.162	           -13.821	       -6.821
        29	   15750000	                        Metamorphics	         0.107	           -13.087	       -6.087
        30	   15800000	                 Acid plutonic rocks	         0.082	           -13.164	       -6.164
        31	   15830000	                 Acid plutonic rocks	         0.086	           -13.375	       -6.375
        32	   15910000	     Siliciclastic sedimentary rocks	         0.206	           -13.569	       -6.569
        33	   16700000	                 Acid plutonic rocks	         0.039	           -13.062	       -6.062
        34	   17050001	            Unconsolidated sediments	         0.164	           -13.787	       -6.787
        35	   17090000	                 Acid plutonic rocks	         0.032	           -13.165	       -6.165
        36	   17093000	            Unconsolidated sediments	         0.241	           -12.999	       -5.999
        37	   17120000	     Siliciclastic sedimentary rocks	         0.252	           -13.004	       -6.004
