CABra dataset - Groundwater attributes
 
aquif_name and aquif_type are the most common aquifer and rock type of the aquifer in the catchment.
catch_wtd is the water table depth.
catch_hand is the Height Above Nearest Drainage (HAND).
hand_class is an estimation of water table depth by HAND classification.
well_number is the number of experimental wells in the catchment, well_static and well_dynamic are the static and dynamic levels of the experimental wells.
 
  CABra ID	     ANA ID	                          aquif_name	   aquif_type	    catch_wtd	   catch_hand	           hand_class	  well_number	  well_static	 well_dynamic
          	           	                                    	             	            m	             	                     	             	            m	            m
         1	   13880000	                            Solimões	       Porous	      -10.446	       18.104	     Deep water table	            0	      No data	      No data
         2	   14110000	                     Fraturado Norte	    Fractured	       -8.306	       38.006	     Deep water table	            0	      No data	      No data
         3	   14230000	                     Fraturado Norte	    Fractured	       -2.846	       16.199	     Deep water table	            0	      No data	      No data
         4	   14250000	                     Fraturado Norte	    Fractured	       -6.016	       28.372	     Deep water table	            0	      No data	      No data
         5	   14260000	                     Fraturado Norte	    Fractured	       -4.131	       18.239	     Deep water table	            0	      No data	      No data
         6	   14280001	                                 Içá	       Porous	       -4.044	       18.085	     Deep water table	            0	      No data	      No data
         7	   14300000	                     Fraturado Norte	    Fractured	       -2.102	       14.783	  Shallow water table	            0	      No data	      No data
         8	   14330000	                     Fraturado Norte	    Fractured	       -5.110	       24.335	     Deep water table	            0	      No data	      No data
         9	   14420000	                                 Içá	       Porous	       -5.392	       27.726	     Deep water table	            0	      No data	      No data
        10	   14495000	                     Fraturado Norte	    Fractured	      -26.270	       84.459	     Deep water table	            0	      No data	      No data
        11	   14515000	                     Fraturado Norte	    Fractured	      -23.164	       74.776	     Deep water table	            0	      No data	      No data
        12	   14550000	                             Roraima	       Porous	      -43.127	      155.995	     Deep water table	            0	      No data	      No data
        13	   14680001	                     Fraturado Norte	    Fractured	      -22.402	       62.193	     Deep water table	            0	      No data	      No data
        14	   14710000	                     Fraturado Norte	    Fractured	      -20.215	       62.219	     Deep water table	            5	         6.70	        62.40
        15	   15030000	                                 Içá	       Porous	      -16.936	       90.588	     Deep water table	           14	        17.46	        99.00
        16	   15050000	                Fraturado Centro-Sul	    Fractured	      -37.912	       64.291	     Deep water table	            0	      No data	      No data
        17	   15120001	                Fraturado Centro-Sul	    Fractured	      -20.152	       36.514	     Deep water table	            0	      No data	      No data
        18	   15250000	                     Fraturado Norte	    Fractured	      -22.137	       69.952	     Deep water table	            0	      No data	      No data
        19	   15320002	                     Fraturado Norte	    Fractured	      -27.356	      109.759	     Deep water table	            0	      No data	      No data
        20	   15430000	                     Fraturado Norte	    Fractured	      -19.419	       40.126	     Deep water table	            0	      No data	      No data
        21	   15431000	                     Fraturado Norte	    Fractured	      -11.295	       23.347	     Deep water table	            0	      No data	      No data
        22	   15432000	                     Fraturado Norte	    Fractured	      -20.198	       38.866	     Deep water table	            0	      No data	      No data
        23	   15550000	                     Fraturado Norte	    Fractured	      -13.221	       24.048	     Deep water table	            0	      No data	      No data
        24	   15558000	                             Parecis	       Porous	      -19.651	       43.221	     Deep water table	            1	        42.50	       194.55
        25	   15560000	                             Parecis	       Porous	      -16.091	       35.900	     Deep water table	            5	        36.52	       180.80
        26	   15580000	                     Fraturado Norte	    Fractured	      -14.966	       32.806	     Deep water table	            5	        36.52	       180.80
        27	   15630000	                     Fraturado Norte	    Fractured	      -25.191	       96.955	     Deep water table	            9	        25.16	       174.44
        28	   15700000	                     Fraturado Norte	    Fractured	      -24.212	       92.774	     Deep water table	            9	        25.16	       174.44
        29	   15750000	                     Fraturado Norte	    Fractured	      -19.988	       41.571	     Deep water table	            0	      No data	      No data
        30	   15800000	                     Fraturado Norte	    Fractured	      -15.517	       31.920	     Deep water table	            0	      No data	      No data
        31	   15830000	                     Fraturado Norte	    Fractured	      -16.212	       33.160	     Deep water table	            2	        22.76	       127.00
        32	   15910000	                        Alto Tapajós	       Porous	      -14.623	       37.710	     Deep water table	            0	      No data	      No data
        33	   16700000	                     Fraturado Norte	    Fractured	      -29.616	       76.852	     Deep water table	            0	      No data	      No data
        34	   17050001	                                 Içá	       Porous	      -18.189	       83.224	     Deep water table	           29	        21.64	       143.03
        35	   17090000	                     Fraturado Norte	    Fractured	      -28.198	       47.908	     Deep water table	            0	      No data	      No data
        36	   17093000	                             Parecis	       Porous	      -22.049	       43.955	     Deep water table	            5	        21.29	       118.00
        37	   17120000	                             Parecis	       Porous	      -17.926	       34.597	     Deep water table	            1	        10.79	        21.00
        38	   17200000	                       Alto Paraguai	       Porous	      -18.022	       39.882	     Deep water table	            0	      No data	      No data
        39	   17280000	                             Parecis	       Porous	      -16.353	       28.457	     Deep water table	            2	         5.75	       278.50
        40	   17340000	                             Parecis	       Porous	      -14.399	       29.927	     Deep water table	            2	         5.75	       278.50
