CABra dataset - Hydrologic disturbance attributes
 
dist_urban is the distance of the streamflow gauge to the nearest urban area.
cover_urban and cover_crops are the fractions of urban and crops cover in the catchment.
res_number, res_area and res_volume are the number, fraction of area and volume of reservoirs in the catchment.
res_regulation is the streamflow regulation capacity of reservoirs in the catchment.
water_demand is the water demand for multiple uses in the catchment.
hdisturb_index is the hydrologic disturbance index of the catchment.
 
  CABra ID	     ANA ID	 dist_urban	 cover_urban	 cover_crops	 res_number	   res_area	 res_volume	 res_regulation	 water_demand	  hdisturb_index
          	           	         km	          %	          %	           	          %	        km³	             	           mm	                
         1	   13880000	         11	      0.048	      0.032	         65	      0.000	      0.020	        0.000	            0	            0.00
         2	   14110000	         63	      0.002	      0.003	          0	      0.000	      0.000	        0.000	            0	            0.00
         3	   14230000	          8	      0.001	      0.000	          0	      0.000	      0.000	        0.000	            0	            0.00
         4	   14250000	          8	      0.002	      0.002	          0	      0.000	      0.000	        0.000	            0	            0.00
         5	   14260000	          1	      0.011	      0.066	          0	      0.000	      0.000	        0.000	            0	            0.00
         6	   14280001	          2	      0.010	      0.060	          0	      0.000	      0.000	        0.000	            0	            0.00
         7	   14300000	          3	      0.003	      0.000	          0	      0.000	      0.000	        0.000	            0	            0.00
         8	   14330000	          9	      0.005	      0.015	          0	      0.000	      0.000	        0.000	            0	            0.00
         9	   14420000	          1	      0.004	      0.012	          0	      0.000	      0.000	        0.000	            0	            0.00
        10	   14495000	          1	      0.000	      0.015	          1	      0.000	      0.000	        0.000	            0	            0.00
        11	   14515000	          1	      0.002	      0.058	          1	      0.000	      0.000	        0.000	            0	            0.00
        12	   14550000	          5	      0.000	      0.205	          0	      0.000	      0.000	        0.000	            0	            0.00
        13	   14680001	          1	      0.000	      0.007	          0	      0.000	      0.000	        0.000	            0	            0.00
        14	   14710000	          1	      0.073	      0.360	         19	      0.010	      0.026	        0.000	            1	            0.00
        15	   15030000	          1	      0.056	      0.200	        109	      0.000	      0.049	        0.000	            0	            0.00
        16	   15050000	          2	      0.304	      1.182	         47	      0.180	      0.021	        0.010	            2	            0.01
        17	   15120001	         57	      0.049	      1.006	        167	      0.030	      0.021	        0.010	            1	            0.01
        18	   15250000	          1	      0.128	      1.965	        477	      0.010	      0.076	        0.000	            0	            0.01
        19	   15320002	          1	      0.101	      1.325	        478	      0.000	      0.078	        0.000	            0	            0.01
        20	   15430000	         93	      0.090	      0.076	          9	      0.400	      0.133	        0.020	            2	            0.01
        21	   15431000	         12	      0.010	      0.435	          1	      0.130	      0.001	        0.000	            2	            0.00
        22	   15432000	          4	      0.012	      0.071	          1	      0.000	      0.000	        0.000	            2	            0.00
        23	   15550000	         13	      0.203	      0.267	         13	      0.080	      0.013	        0.000	            2	            0.00
        24	   15558000	          1	      0.039	      1.814	          7	      0.140	      0.031	        0.000	            1	            0.01
        25	   15560000	          5	      0.398	      1.118	         22	      0.270	      0.517	        0.020	            3	            0.01
        26	   15580000	          1	      0.283	      0.690	         43	      0.160	      0.523	        0.010	            2	            0.01
        27	   15630000	          1	      0.116	      1.182	        575	      0.110	      9.319	        0.010	            0	            0.01
        28	   15700000	          1	      0.111	      1.124	        576	      0.110	      9.319	        0.010	            0	            0.01
        29	   15750000	          1	      0.002	      0.123	         84	      0.060	      0.046	        0.000	            0	            0.00
        30	   15800000	          1	      0.011	      0.031	         90	      0.010	      0.046	        0.000	            0	            0.00
        31	   15830000	          1	      0.008	      0.076	        103	      0.010	      0.046	        0.000	            0	            0.00
        32	   15910000	         24	      0.001	      0.000	          0	      0.000	      0.000	        0.000	            0	            0.00
        33	   16700000	          2	      0.001	      0.003	          0	      0.000	      0.000	        0.000	            0	            0.00
        34	   17050001	          7	      0.065	      0.408	        825	      0.090	     29.662	        0.010	            0	            0.00
        35	   17090000	          1	      0.000	      0.001	          0	      0.000	      0.000	        0.000	            0	            0.00
        36	   17093000	         22	      0.018	     13.737	        268	      0.040	      0.108	        0.000	            0	            0.06
        37	   17120000	         13	      0.072	     23.047	        645	      0.040	      0.000	        0.000	            2	            0.09
        38	   17200000	          1	      0.056	     11.182	         84	      0.010	      0.000	        0.000	            1	            0.05
        39	   17280000	          1	      0.225	     43.330	        804	      0.110	      0.075	        0.000	            3	            0.18
        40	   17340000	          1	      0.238	     32.009	        826	      0.760	      4.671	        0.120	            3	            0.14
        41	   17345000	          7	      0.030	      0.008	          0	      0.000	      0.000	        0.000	            0	            0.00
        42	   17350000	         67	      0.022	      2.021	          0	      0.000	      0.000	        0.000	            1	            0.01
        43	   17730000	          5	      0.062	      9.352	       2306	      0.140	      6.399	        0.020	            1	            0.04
        44	   18200000	          3	      0.001	      0.009	          0	      0.000	      0.000	        0.000	            0	            0.00
        45	   18250000	          1	      0.143	      0.503	          0	      0.000	      0.000	        0.000	            1	            0.00
        46	   18280000	          1	      0.000	      0.005	          0	      0.000	      0.000	        0.000	            0	            0.00
        47	   18420000	         13	      0.003	     10.077	         24	      0.010	      0.000	        0.000	            0	            0.04
