CABra dataset - Land-cover attributes
 
cover_main is the most common land-cover class in the catchment.
cover_bare, cover_forest, cover_crops, cover_grass, cover_moss, cover_shrub, cover_urban, cover_snow are the fraction of cover of bare soil, forest, cover_crops, cover_grass, cover_moss, cover_shrub, cover_urban area and cover_snow in the catchment.
cover_waterp and cover_waters are the fraction of cover of permanent and seasonal water in the catchment.
ndvi_djf, ndvi_mam, ndvi_jja and ndvi_son are the NDVI values for summer, fall, winter and spring, respectively.
 
  CABra ID	     ANA ID	 cover_main	 cover_bare	  cover_forest	 cover_crops	 cover_grass	 cover_moss	 cover_shrub	 cover_urban	 cover_snow	  cover_waterp	  cover_waters	   ndvi_djf	   ndvi_mam	   ndvi_jja	   ndvi_son
          	           	           	          %	             %	          %	          %	          %	          %	          %	          %	             %	             %	           	           	           	           
         1	   13880000	     forest	      0.082	        93.388	      0.032	      4.413	      0.000	      1.806	      0.048	      0.000	         0.231	         0.322	      0.737	      0.742	      0.674	      0.652
         2	   14110000	     forest	      0.001	        98.623	      0.003	      0.695	      0.000	      0.342	      0.002	      0.000	         0.334	         0.201	      0.732	      0.734	      0.667	      0.646
         3	   14230000	     forest	      0.001	        99.467	      0.000	      0.193	      0.000	      0.184	      0.001	      0.000	         0.153	         0.162	      0.666	      0.660	      0.578	      0.571
         4	   14250000	     forest	      0.001	        98.847	      0.002	      0.518	      0.000	      0.250	      0.002	      0.000	         0.380	         0.199	      0.633	      0.631	      0.557	      0.557
         5	   14260000	     forest	      0.002	        96.178	      0.066	      2.331	      0.000	      0.922	      0.011	      0.000	         0.491	         0.136	      0.699	      0.668	      0.579	      0.576
         6	   14280001	     forest	      0.002	        96.324	      0.060	      2.130	      0.000	      0.842	      0.010	      0.000	         0.633	         0.138	      0.747	      0.754	      0.684	      0.664
         7	   14300000	     forest	      0.000	        99.700	      0.000	      0.218	      0.000	      0.079	      0.003	      0.000	         0.001	         0.009	      0.746	      0.760	      0.707	      0.684
         8	   14330000	     forest	      0.001	        98.202	      0.015	      0.855	      0.000	      0.363	      0.005	      0.000	         0.560	         0.183	      0.740	      0.778	      0.847	      0.785
         9	   14420000	     forest	      0.001	        98.365	      0.012	      0.689	      0.000	      0.283	      0.004	      0.000	         0.647	         0.199	      0.731	      0.710	      0.659	      0.642
        10	   14495000	     forest	      0.005	        95.239	      0.015	      3.444	      0.000	      1.040	      0.000	      0.000	         0.257	         0.142	      0.770	      0.672	      0.709	      0.631
        11	   14515000	     forest	      0.088	        80.022	      0.058	     15.990	      0.000	      3.562	      0.002	      0.000	         0.278	         0.224	      0.756	      0.651	      0.694	      0.605
        12	   14550000	      grass	      0.819	        24.468	      0.205	     59.759	      0.000	     14.654	      0.000	      0.000	         0.094	         0.142	      0.770	      0.675	      0.669	      0.622
        13	   14680001	     forest	      0.002	        98.312	      0.007	      1.186	      0.000	      0.365	      0.000	      0.000	         0.127	         0.119	      0.773	      0.663	      0.674	      0.611
        14	   14710000	     forest	      0.230	        62.311	      0.360	     29.635	      0.000	      7.072	      0.073	      0.000	         0.320	         0.387	      0.766	      0.715	      0.679	      0.656
        15	   15030000	     forest	      0.393	        87.437	      0.200	      8.511	      0.005	      2.304	      0.056	      0.034	         1.057	         0.551	      0.646	      0.585	      0.547	      0.502
        16	   15050000	     forest	      0.386	        43.494	      1.182	     35.778	      0.000	     18.771	      0.304	      0.000	         0.085	         0.058	      0.763	      0.730	      0.681	      0.669
        17	   15120001	     forest	      0.171	        44.680	      1.006	     37.818	      0.000	     15.836	      0.049	      0.000	         0.440	         0.343	      0.740	      0.744	      0.861	      0.803
        18	   15250000	     forest	      0.966	        61.715	      1.965	     22.448	      0.000	     12.154	      0.128	      0.000	         0.625	         0.754	      0.648	      0.689	      0.572	      0.479
        19	   15320002	     forest	      1.098	        67.121	      1.325	     19.907	      0.003	      9.704	      0.101	      0.076	         0.665	         0.697	      0.649	      0.692	      0.575	      0.483
        20	   15430000	     forest	      0.257	        64.895	      0.076	     26.978	      0.000	      7.574	      0.090	      0.000	         0.129	         0.176	      0.789	      0.751	      0.818	      0.821
        21	   15431000	     forest	      0.281	        50.860	      0.435	     38.799	      0.000	      9.595	      0.010	      0.000	         0.020	         0.130	      0.657	      0.700	      0.597	      0.508
        22	   15432000	     forest	      0.534	        48.335	      0.071	     38.969	      0.000	     12.048	      0.012	      0.000	         0.031	         0.122	      0.663	      0.706	      0.605	      0.518
        23	   15550000	     forest	      0.279	        62.537	      0.267	     28.153	      0.000	      8.519	      0.203	      0.000	         0.041	         0.154	      0.683	      0.723	      0.578	      0.490
        24	   15558000	     forest	      0.242	        58.674	      1.814	     29.033	      0.000	     10.144	      0.039	      0.000	         0.056	         0.074	      0.767	      0.801	      0.730	      0.667
        25	   15560000	     forest	      0.349	        50.329	      1.118	     36.557	      0.000	     11.066	      0.398	      0.000	         0.184	         0.140	      0.664	      0.697	      0.578	      0.498
        26	   15580000	     forest	      0.327	        54.105	      0.690	     34.514	      0.000	      9.875	      0.283	      0.000	         0.205	         0.142	      0.772	      0.735	      0.792	      0.820
        27	   15630000	     forest	      0.968	        67.458	      1.182	     20.301	      0.002	      9.249	      0.116	      0.065	         0.658	         0.673	      0.695	      0.735	      0.639	      0.559
        28	   15700000	     forest	      0.925	        68.678	      1.124	     19.535	      0.002	      8.881	      0.111	      0.061	         0.682	         0.670	      0.674	      0.703	      0.590	      0.533
        29	   15750000	     forest	      0.082	        86.536	      0.123	     10.174	      0.000	      3.042	      0.002	      0.000	         0.042	         0.074	      0.668	      0.703	      0.610	      0.548
        30	   15800000	     forest	      0.034	        90.626	      0.031	      7.009	      0.000	      2.196	      0.011	      0.000	         0.093	         0.096	      0.718	      0.736	      0.643	      0.591
        31	   15830000	     forest	      0.052	        90.438	      0.076	      6.936	      0.000	      2.350	      0.008	      0.000	         0.141	         0.103	      0.757	      0.761	      0.661	      0.641
        32	   15910000	     forest	      0.001	        99.415	      0.000	      0.361	      0.000	      0.221	      0.001	      0.000	         0.002	         0.058	      0.743	      0.744	      0.652	      0.641
        33	   16700000	     forest	      0.000	        92.781	      0.003	      4.931	      0.000	      2.281	      0.001	      0.000	         0.003	         0.011	      0.720	      0.726	      0.814	      0.803
        34	   17050001	     forest	      0.487	        83.357	      0.408	     10.753	      0.004	      3.803	      0.065	      0.036	         1.085	         0.689	      0.730	      0.655	      0.769	      0.816
        35	   17090000	     forest	      0.000	        98.460	      0.001	      1.023	      0.000	      0.501	      0.000	      0.000	         0.014	         0.057	      0.772	      0.768	      0.709	      0.692
        36	   17093000	     forest	      0.064	        54.692	     13.737	     17.384	      0.000	     14.041	      0.018	      0.000	         0.064	         0.061	      0.720	      0.662	      0.632	      0.653
        37	   17120000	     forest	      0.087	        54.988	     23.047	     15.586	      0.000	      6.145	      0.072	      0.000	         0.074	         0.069	      0.732	      0.649	      0.657	      0.642
        38	   17200000	     forest	      0.125	        34.765	     11.182	     32.188	      0.000	     21.602	      0.056	      0.000	         0.082	         0.111	      0.788	      0.765	      0.699	      0.702
        39	   17280000	      crops	      0.078	        31.141	     43.330	     15.692	      0.000	      9.375	      0.225	      0.000	         0.160	         0.140	      0.754	      0.730	      0.664	      0.666
        40	   17340000	     forest	      0.170	        39.164	     32.009	     19.632	      0.000	      8.511	      0.238	      0.000	         0.277	         0.136	      0.797	      0.792	      0.743	      0.725
        41	   17345000	     forest	      0.262	        64.516	      0.008	     18.610	      0.000	     16.573	      0.030	      0.000	         0.001	         0.001	      0.788	      0.764	      0.712	      0.713
        42	   17350000	     forest	      0.295	        60.693	      2.021	     26.320	      0.000	     10.649	      0.022	      0.000	         0.000	         0.008	      0.756	      0.726	      0.666	      0.669
        43	   17730000	     forest	      0.111	        70.590	      9.352	     13.635	      0.000	      5.725	      0.062	      0.000	         0.525	         0.148	      0.769	      0.726	      0.675	      0.671
        44	   18200000	     forest	      0.001	        94.762	      0.009	      3.792	      0.000	      1.411	      0.001	      0.000	         0.024	         0.077	      0.757	      0.726	      0.667	      0.670
        45	   18250000	     forest	      0.040	        73.141	      0.503	     19.270	      0.000	      6.902	      0.143	      0.000	         0.001	         0.015	      0.723	      0.637	      0.677	      0.623
        46	   18280000	     forest	      0.000	        99.776	      0.005	      0.137	      0.000	      0.054	      0.000	      0.000	         0.027	         0.102	      0.722	      0.648	      0.660	      0.632
        47	   18420000	     forest	      0.071	        59.703	     10.077	     16.603	      0.000	     13.543	      0.003	      0.000	         0.001	         0.016	      0.776	      0.730	      0.672	      0.680
        48	   18460000	     forest	      0.079	        67.801	      9.941	     14.311	      0.000	      7.395	      0.015	      0.000	         0.457	         0.197	      0.795	      0.770	      0.715	      0.726
        49	   18650000	     forest	      0.039	        91.335	      0.119	      5.959	      0.000	      2.443	      0.008	      0.000	         0.097	         0.129	      0.678	      0.629	      0.650	      0.609
        50	   18850000	     forest	      0.068	        78.810	      4.773	     10.782	      0.000	      5.076	      0.015	      0.000	         0.477	         0.240	      0.757	      0.725	      0.676	      0.676
        51	   19100000	     forest	      0.000	        99.913	      0.003	      0.064	      0.000	      0.020	      0.000	      0.000	         0.000	         0.006	      0.671	      0.639	      0.653	      0.610
        52	   19150000	     forest	      0.000	        99.727	      0.004	      0.143	      0.000	      0.036	      0.000	      0.000	         0.091	         0.122	      0.710	      0.710	      0.751	      0.735
        53	   20050000	      grass	      0.372	        25.612	     13.112	     37.302	      0.000	     23.192	      0.330	      0.000	         0.081	         0.108	      0.671	      0.663	      0.584	      0.625
