CABra dataset - Soil attributes
 
soil_type is the most common taxonomy of soil.
soil_textclass is the textural class of soil based on the USDA textural classification.
soil_sand, soil_sand and soil_clay are the fraction of sand, silt and clay in the soil, respectively.
soil_carbon is the fraction of organic carbon in the soil.
soil_bulk and soil_depth are the bulk density and depth to the bedrock, respectively.
 
  CABra ID	     ANA ID	                 soil_type	  soil_textclass	  soil_sand	  soil_silt	  soil_clay	 soil_carbon	  soil_bulk	 soil_depth
          	           	                          	                	          %	          %	          %	          ‰	     g cm¯³	          m
         1	   13880000	           Haplic Acrisols	            LOAM	     41.247	     34.439	     24.310	     16.099	      1.335	     25.456
         2	   14110000	          Haplic Ferrasols	 SANDY CLAY LOAM	     57.493	     21.926	     20.575	     34.458	      1.256	     17.609
         3	   14230000	          Haplic Ferrasols	      SANDY LOAM	     61.365	     23.241	     15.378	     30.098	      1.219	     20.530
         4	   14250000	          Haplic Ferrasols	      SANDY LOAM	     58.808	     22.725	     18.457	     34.490	      1.235	     18.612
         5	   14260000	          Haplic Ferrasols	      SANDY LOAM	     58.559	     22.066	     19.372	     34.200	      1.248	     20.859
         6	   14280001	          Haplic Ferrasols	      SANDY LOAM	     58.748	     22.265	     18.982	     35.076	      1.239	     21.090
         7	   14300000	          Haplic Ferrasols	      SANDY LOAM	     59.973	     22.351	     17.682	     35.957	      1.205	     20.609
         8	   14330000	          Haplic Ferrasols	      SANDY LOAM	     58.797	     22.922	     18.273	     34.952	      1.229	     19.571
         9	   14420000	          Haplic Ferrasols	      SANDY LOAM	     57.770	     23.727	     18.495	     35.203	      1.224	     19.660
        10	   14495000	          Haplic Ferrasols	       CLAY LOAM	     44.319	     23.197	     32.486	     40.831	      1.267	     19.788
        11	   14515000	           Haplic Acrisols	 SANDY CLAY LOAM	     46.694	     23.086	     30.222	     47.659	      1.298	     23.638
        12	   14550000	           Haplic Acrisols	 SANDY CLAY LOAM	     45.503	     26.666	     27.832	    103.842	      1.306	     25.117
        13	   14680001	           Haplic Acrisols	 SANDY CLAY LOAM	     45.130	     22.004	     32.887	     28.553	      1.296	     20.874
        14	   14710000	           Haplic Acrisols	 SANDY CLAY LOAM	     50.322	     22.145	     27.534	     53.730	      1.342	     27.538
        15	   15030000	           Haplic Acrisols	            LOAM	     46.473	     29.287	     24.239	     43.348	      1.237	     21.519
        16	   15050000	          Haplic Ferrasols	 SANDY CLAY LOAM	     62.221	     16.362	     21.409	     15.812	      1.365	     24.848
        17	   15120001	          Haplic Ferrasols	 SANDY CLAY LOAM	     62.281	     17.507	     20.203	     13.304	      1.390	     22.580
        18	   15250000	          Haplic Ferrasols	 SANDY CLAY LOAM	     52.434	     24.106	     23.456	     23.574	      1.338	     24.606
        19	   15320002	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.680	     26.086	     24.231	     31.795	      1.310	     24.674
        20	   15430000	           Haplic Acrisols	 SANDY CLAY LOAM	     52.491	     21.041	     26.491	     17.100	      1.339	     18.141
        21	   15431000	           Haplic Acrisols	 SANDY CLAY LOAM	     52.860	     19.780	     27.400	     18.670	      1.336	     21.492
        22	   15432000	           Haplic Acrisols	 SANDY CLAY LOAM	     52.092	     19.264	     28.668	     20.093	      1.325	     20.157
        23	   15550000	           Haplic Acrisols	 SANDY CLAY LOAM	     47.469	     22.133	     30.403	     18.745	      1.342	     23.728
        24	   15558000	           Haplic Acrisols	 SANDY CLAY LOAM	     62.965	     16.996	     20.030	     17.722	      1.355	     23.606
        25	   15560000	           Haplic Acrisols	 SANDY CLAY LOAM	     61.051	     17.757	     21.188	     17.630	      1.353	     23.375
        26	   15580000	           Haplic Acrisols	 SANDY CLAY LOAM	     57.056	     18.869	     24.082	     17.391	      1.346	     22.662
        27	   15630000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.800	     25.595	     24.602	     29.663	      1.316	     24.673
        28	   15700000	          Haplic Ferrasols	 SANDY CLAY LOAM	     49.404	     25.949	     24.645	     28.998	      1.316	     24.694
        29	   15750000	           Haplic Acrisols	 SANDY CLAY LOAM	     57.661	     19.157	     23.182	     18.379	      1.337	     18.268
        30	   15800000	           Haplic Acrisols	 SANDY CLAY LOAM	     51.106	     22.318	     26.573	     15.690	      1.329	     18.767
