CABra dataset - Streamflow attributes

q is the daily streamflow. 
q_mean, q_1, q_5, q_95, and q_99 are long-term mean of q, 1st quantile of q (very-low flow), 5th quantile of q (low flow), 95th quantile of q (hig-flow), and 99th quantile of q (very-high flow), respectively.
q_lf, q_ld, q_hf, and q_hd are the frequency and duration of low flow and high flow events, respectively. q_zero is the frequency of zero flow. q_hfd is the half-flow day.
q_cv, q_lcv, and q_hcv are the coefficient of variation of mean flow, low flow, and high flow, respectively.
q_elasticity, fdc_slope, baseflow_index, and runoff_coef are the streamflow elasticity, slope of the flow duration curve, the baseflow index, and the runoff coefficient of the catchment, respectively.
 
  CABra ID	     ANA ID	   q_mean	      q_1	      q_5	     q_95	     q_99	       q_lf	     q_ld	        q_hf	     q_hd	    q_hfd	      q_zero	     q_cv	    q_lcv	    q_hcv	    q_elasticity	       fdc_slope	  baseflow_index	     runoff_coef
          	           	 mm day¯¹	 mm day¯¹	 mm day¯¹	 mm day¯¹	 mm day¯¹	 days year¯¹	     days	 days year¯¹	     days	      DOY	 days year¯¹	         	         	         	                	                	                	                
         1	   13880000	     2.25	     0.34	     0.39	     4.52	     4.64	          19	       38	           0	        0	      181	           0	     0.08	     0.11	     0.04	            0.36	           -4.42	           93.22	            0.40
         2	   14110000	     5.60	     0.67	     1.16	    11.17	    11.96	          15	       20	           0	        0	      248	           0	     0.11	     0.62	     0.11	            0.97	           -1.93	           90.46	            0.63
         3	   14230000	     6.69	     1.24	     2.12	    12.42	    14.16	           4	        9	           0	        0	      238	           0	     0.08	     0.46	     0.09	            1.08	           -1.58	           88.67	            0.79
         4	   14250000	     5.72	     1.03	     1.72	    10.63	    11.77	           4	        9	           0	        0	      242	           0	     0.10	     0.50	     0.10	            0.89	           -1.68	           91.42	            0.65
         5	   14260000	     5.06	     0.43	     1.09	     9.91	    11.83	          14	       14	           0	        0	      243	           0	     0.09	     0.55	     0.13	            0.55	           -1.79	           88.12	            0.65
         6	   14280001	     5.25	     0.63	     1.30	    10.12	    11.97	          11	       13	           0	        0	      239	           0	     0.10	     0.52	     0.14	            0.26	           -1.64	           88.70	            0.67
         7	   14300000	     5.57	     1.34	     1.98	    11.02	    16.73	           1	        6	           0	        0	      217	           0	     0.13	     0.26	     0.26	            1.31	           -1.40	           84.13	            0.68
         8	   14330000	     5.52	     1.11	     1.93	     9.82	    11.01	           3	       10	           0	        0	      236	           0	     0.10	     0.49	     0.10	            1.11	           -1.37	           91.60	            0.64
         9	   14420000	     5.25	     1.52	     2.17	     9.12	    10.24	           0	        0	           0	        0	      232	           0	     0.11	     0.38	     0.11	            0.79	           -1.13	           93.26	            0.63
        10	   14495000	     2.70	     0.41	     0.61	     6.40	     7.95	           5	        8	           0	        0	      245	           0	     0.25	     0.49	     0.19	            1.05	           -2.08	           87.81	            0.46
        11	   14515000	     2.50	     0.29	     0.43	     6.68	     8.18	          11	       11	           0	        0	      253	           0	     0.29	     0.57	     0.23	           -0.50	           -2.35	           87.21	            0.43
        12	   14550000	     2.16	     0.17	     0.26	     7.71	    13.76	          10	        5	          11	        2	      255	           0	     0.32	     0.37	     0.32	            0.30	           -3.15	           79.53	            0.57
        13	   14680001	     2.13	     0.26	     0.41	     4.96	     6.41	          12	       11	           0	        0	      245	           0	     0.28	     0.60	     0.24	            0.44	           -2.11	           87.92	            0.37
        14	   14710000	     2.21	     0.20	     0.31	     6.51	     7.85	          13	       14	           0	        0	      262	           0	     0.30	     0.59	     0.24	            0.84	           -2.86	           87.34	            0.42
        15	   15030000	     3.51	     1.74	     2.02	     5.33	     5.82	           0	        0	           0	        0	      215	           0	     0.10	     0.14	     0.12	            1.11	           -0.94	           96.93	            0.50
        16	   15050000	     1.67	     0.97	     1.07	     2.93	     3.69	           0	        0	           0	        0	      171	           0	     0.11	     0.12	     0.21	            0.69	           -0.81	           94.30	            0.39
        17	   15120001	     0.49	     0.11	     0.12	     1.44	     1.79	           0	        0	           1	       18	      174	           0	     0.26	     0.14	     0.29	            0.47	           -3.13	           93.16	            0.13
        18	   15250000	     1.14	     0.14	     0.18	     2.47	     2.97	          26	       29	           0	        0	      185	           0	     0.19	     0.27	     0.18	           -0.19	           -3.15	           92.69	            0.24
        19	   15320002	     1.69	     0.27	     0.35	     3.53	     3.88	           9	       12	           0	        0	      173	           0	     0.25	     0.26	     0.24	            0.28	           -2.67	           92.19	            0.32
        20	   15430000	     1.90	     0.05	     0.09	     5.90	     7.89	          63	       21	           1	        3	      163	           0	     0.18	     0.58	     0.27	            1.18	           -5.13	           86.75	            0.35
        21	   15431000	     2.22	     0.14	     0.21	     6.37	     8.11	          35	       10	           0	        0	      164	           0	     0.16	     0.31	     0.15	           -0.74	           -4.29	           87.21	            0.38
        22	   15432000	     2.50	     0.04	     0.12	     8.14	    10.10	          73	       24	           1	        2	      158	           0	     0.27	     0.47	     0.25	            0.52	           -5.10	           86.59	            0.43
        23	   15550000	     2.31	     0.21	     0.29	     6.12	     7.70	          21	       15	           0	        0	      179	           0	     0.18	     0.29	     0.18	            0.96	           -4.22	           91.51	            0.39
        24	   15558000	     1.88	     0.53	     0.59	     5.02	     6.63	           0	        0	           0	        0	      156	           0	     0.17	     0.36	     0.16	            0.82	           -2.57	           89.82	            0.38
        25	   15560000	     1.87	     0.32	     0.41	     5.22	     6.50	           0	        5	           0	        0	      156	           0	     0.19	     0.22	     0.17	            1.27	           -3.05	           89.18	            0.37
        26	   15580000	     2.04	     0.24	     0.35	     5.31	     6.40	           6	       19	           0	        0	      163	           0	     0.15	     0.25	     0.16	            1.11	           -3.60	           90.28	            0.39
        27	   15630000	     1.77	     0.29	     0.37	     3.68	     4.39	          11	       15	           0	        0	      178	           0	     0.14	     0.27	     0.16	            1.34	           -2.60	           92.83	            0.33
        28	   15700000	     1.87	     0.28	     0.40	     3.65	     3.96	          11	       24	           0	        0	      184	           0	     0.11	     0.36	     0.09	            0.82	           -2.70	           93.19	            0.35
        29	   15750000	     1.76	     0.13	     0.18	     4.77	     5.84	          31	       17	           0	        0	      170	           0	     0.17	     0.39	     0.18	            0.43	           -4.28	           89.92	            0.33
        30	   15800000	     1.72	     0.10	     0.14	     4.69	     5.30	          46	       24	           0	        0	      170	           0	     0.13	     0.32	     0.11	            0.39	           -4.71	           89.86	            0.29
        31	   15830000	     2.13	     0.17	     0.23	     5.54	     6.51	          34	       28	           0	        0	      174	           0	     0.13	     0.27	     0.12	            1.43	           -4.47	           90.88	            0.36
        32	   15910000	     2.97	     0.13	     0.20	     8.96	    10.70	          59	       19	           0	        0	      168	           0	     0.23	     0.43	     0.16	            2.09	           -5.36	           87.82	            0.43
        33	   16700000	     1.91	     0.04	     0.14	     6.53	    10.77	          35	       14	           5	        5	      236	           0	     0.49	     0.68	     0.49	            0.52	           -3.30	           83.21	            0.43
        34	   17050001	     2.98	     1.39	     1.65	     4.14	     4.38	           0	        0	           0	        0	      211	           0	     0.07	     0.14	     0.07	            0.58	           -1.01	           96.98	            0.45
        35	   17090000	     0.73	     0.00	     0.01	     3.08	     5.21	          72	       27	          33	       12	      223	           0	     0.66	     1.18	     0.63	            4.55	           -4.72	           87.20	            0.13
        36	   17093000	     2.24	     1.66	     1.71	     2.99	     3.25	           0	        0	           0	        0	      174	           0	     0.06	     0.06	     0.07	           -0.17	           -0.59	           97.44	            0.46
        37	   17120000	     1.69	     0.77	     0.87	     3.04	     3.57	           0	        0	           0	        0	      165	           0	     0.10	     0.13	     0.16	            0.57	           -1.38	           94.77	            0.35
        38	   17200000	     2.12	     0.35	     0.39	     6.51	     9.28	           0	        0	           2	       13	      139	           0	     0.20	     0.11	     0.26	           -0.13	           -3.76	           88.32	            0.48
        39	   17280000	     2.01	     0.74	     0.84	     4.16	     5.31	           0	        0	           0	        0	      159	           0	     0.17	     0.20	     0.26	            0.50	           -1.76	           93.88	            0.43
        40	   17340000	     1.96	     0.64	     0.73	     4.35	     4.95	           0	        0	           0	        0	      162	           0	     0.18	     0.11	     0.21	           -1.37	           -2.26	           93.96	            0.40
        41	   17345000	     3.98	     1.30	     1.66	     8.35	    12.22	           0	        0	           0	        0	      154	           0	     0.18	     0.20	     0.27	            0.61	           -1.67	           89.23	            0.69
        42	   17350000	     2.59	     0.16	     0.21	     8.16	    11.40	          49	       17	           3	        3	      149	           0	     0.17	     0.19	     0.29	            0.15	           -5.23	           87.90	            0.46
        43	   17730000	     2.46	     0.41	     0.52	     5.39	     6.19	           7	       22	           0	        0	      197	           0	     0.17	     0.21	     0.16	            1.15	           -2.50	           93.29	            0.44
        44	   18200000	     1.02	     0.02	     0.04	     3.96	     5.94	          51	       37	          16	        7	      219	           0	     0.54	     0.73	     0.46	            3.11	           -4.19	           87.14	            0.21
        45	   18250000	     1.24	     0.02	     0.03	     4.72	     7.28	          65	       25	          19	        7	      193	           0	     0.58	     0.74	     0.51	            1.35	           -4.87	           83.85	            0.24
        46	   18280000	     1.79	     0.02	     0.09	     5.46	     7.99	          48	       25	           0	        0	      234	           0	     0.42	     0.81	     0.31	            1.52	           -3.57	           86.77	            0.36
        47	   18420000	     1.83	     0.83	     0.94	     3.55	     4.84	           0	        0	           0	        0	      157	           0	     0.16	     0.10	     0.25	           -0.14	           -1.37	           93.56	            0.39
        48	   18460000	     1.46	     0.23	     0.30	     3.55	     4.45	           2	       74	           0	        0	      172	           0	     0.23	     0.23	     0.27	            0.23	           -3.46	           93.10	            0.30
        49	   18650000	     1.97	     0.09	     0.14	     5.65	     7.43	          54	       27	           0	        0	      180	           0	     0.24	     0.39	     0.20	            2.03	           -4.95	           89.05	            0.33
        50	   18850000	     1.56	     0.16	     0.20	     4.37	     5.20	           8	       14	           0	        0	      181	           0	     0.22	     0.20	     0.19	            0.79	           -4.39	           91.44	            0.30
        51	   19100000	     1.36	     0.11	     0.20	     3.55	     5.49	          17	       14	           1	        5	      225	           0	     0.32	     0.43	     0.47	            1.92	           -2.53	           88.38	            0.26
        52	   19150000	     1.74	     0.07	     0.21	     4.67	     6.06	          30	       24	           0	        0	      226	           0	     0.32	     0.51	     0.30	            1.49	           -2.67	           89.38	            0.35
        53	   20050000	     1.05	     0.25	     0.33	     2.58	     5.28	           0	        0	           2	        2	      146	           0	     0.36	     0.25	     0.72	           -0.17	           -1.85	           89.99	            0.27
        54	   20250000	     1.37	     0.15	     0.28	     3.60	     5.92	           7	       12	           1	        2	      147	           0	     0.27	     0.50	     0.47	           -1.11	           -2.45	           88.02	            0.32
        55	   21500000	     0.74	     0.19	     0.21	     2.36	     4.37	           0	        0	           5	        7	      143	           0	     0.36	     0.14	     0.61	           -0.14	           -2.14	           90.01	            0.20
        56	   21850000	     1.50	     0.81	     0.84	     3.37	     7.05	           0	        0	           2	        5	      153	           0	     0.19	     0.05	     0.50	            0.00	           -0.84	           92.08	            0.38
        57	   22680000	     1.42	     0.67	     0.75	     2.83	     4.66	           0	        0	           0	        5	      157	           0	     0.13	     0.07	     0.52	           -0.05	           -1.24	           91.09	            0.36
        58	   22700000	     1.42	     0.66	     0.72	     2.84	     5.09	           0	        0	           1	        5	      156	           0	     0.14	     0.09	     0.61	           -0.33	           -1.29	           91.03	            0.35
        59	   22900000	     1.39	     0.48	     0.54	     3.30	     5.01	           0	        0	           0	        5	      158	           0	     0.16	     0.12	     0.32	           -0.22	           -1.91	           89.15	            0.33
        60	   23100000	     1.16	     0.28	     0.34	     3.04	     4.80	           0	        0	           1	        5	      156	           0	     0.21	     0.18	     0.35	           -0.33	           -2.32	           90.41	            0.27
        61	   23250000	     1.32	     0.49	     0.56	     3.11	     4.82	           0	        0	           0	        5	      164	           0	     0.20	     0.12	     0.32	            0.02	           -1.66	           91.05	            0.31
        62	   23300000	     1.19	     0.31	     0.37	     2.99	     4.37	           0	        0	           0	        0	      158	           0	     0.19	     0.16	     0.30	           -0.37	           -2.31	           91.12	            0.28
        63	   23600000	     1.20	     0.32	     0.39	     3.12	     4.73	           0	        0	           0	        0	      160	           0	     0.20	     0.16	     0.32	           -0.34	           -2.26	           91.23	            0.28
        64	   23700000	     1.28	     0.36	     0.42	     3.33	     5.04	           0	        0	           0	        0	      160	           0	     0.19	     0.12	     0.34	           -0.02	           -2.33	           91.30	            0.30
        65	   24050000	     2.32	     1.34	     1.56	     3.52	     4.31	           0	        0	           0	        0	      164	           0	     0.09	     0.13	     0.16	            0.03	           -0.73	           93.42	            0.53
        66	   24200000	     1.73	     0.42	     0.49	     4.99	     7.97	           0	        0	           1	        2	      146	           0	     0.19	     0.13	     0.34	            0.09	           -2.55	           88.66	            0.40
        67	   24500000	     1.97	     0.50	     0.56	     5.72	     9.96	           0	        0	           3	        2	      140	           0	     0.22	     0.17	     0.30	           -0.11	           -2.24	           85.79	            0.45
        68	   24700000	     1.58	     0.41	     0.46	     4.61	     7.19	           0	        0	           2	        2	      144	           0	     0.19	     0.11	     0.38	           -0.18	           -2.45	           88.14	            0.36
