CABra dataset - Topography attributes
 
catch_area is the area of the catchment.
elev_mean, elev_min, and elev_max are the mean, minimum and maximum elevation of the catchment.
elev_gauge is the elevation of the streamflow gauge.
catch_slope is the mean slope of the catchment.
catch_order is the catchment order as well as the highest stream network order.
 
  CABra ID	     ANA ID	      catch_area	  elev_mean	   elev_min	   elev_max	 elev_gauge	  catch_slope	  catch_order
          	           	             km²	          m	          m	          m	          m	            %	             
         1	   13880000	      243410.279	     178.97	      44.65	     564.03	      44.65	         3.14	            7
         2	   14110000	       76898.617	     222.97	      80.40	    2892.44	      80.40	         4.72	            6
         3	   14230000	       24018.785	     151.47	      80.86	     952.20	      80.86	         2.81	            4
         4	   14250000	      127540.913	     184.31	      74.32	    2892.44	      74.32	         3.71	            6
         5	   14260000	       41762.638	     206.08	      85.09	     615.36	      85.09	         2.30	            5
         6	   14280001	       45937.399	     197.90	      78.18	     615.36	      78.18	         2.29	            5
         7	   14300000	        2046.773	     160.94	     103.17	     312.60	     103.17	         1.96	            3
         8	   14330000	      200204.618	     178.05	      50.73	    2892.44	      50.73	         3.20	            6
         9	   14420000	      290450.675	     158.68	      29.85	    2953.01	      29.85	         3.26	            6
        10	   14495000	       36522.162	     483.47	      74.40	    1717.47	      74.40	        11.11	            5
        11	   14515000	       49871.585	     409.64	      64.42	    1717.47	      64.42	         9.62	            5
        12	   14550000	        5872.775	     764.63	     106.95	    2774.81	     106.95	        14.92	            4
        13	   14680001	       12603.963	     386.35	      76.58	    1518.91	      76.58	        10.25	            4
        14	   14710000	      116641.608	     321.99	      44.65	    2774.81	      44.65	         7.87	            6
        15	   15030000	     3032432.490	     508.85	      13.31	    6558.28	      13.31	         7.44	            8
        16	   15050000	        2993.203	     472.03	     225.64	     811.99	     225.64	         5.17	            3
        17	   15120001	       22580.804	     302.51	     193.56	    1147.99	     193.56	         3.46	            4
        18	   15250000	      617280.606	     532.59	     121.09	    5119.86	     121.09	         6.27	            8
        19	   15320002	      938166.101	     660.45	      93.36	    6402.90	      93.36	         9.22	            8
        20	   15430000	        8209.836	     223.88	     101.79	    1101.62	     101.79	         7.47	            5
        21	   15431000	        1004.308	     162.24	     107.30	     367.84	     107.30	         4.85	            3
        22	   15432000	         844.794	     187.86	     107.19	     362.76	     107.19	         8.31	            2
        23	   15550000	       12709.956	     144.85	      65.89	    1107.78	      65.89	         3.95	            4
        24	   15558000	       10165.556	     321.27	     178.62	     621.17	     178.62	         4.41	            4
        25	   15560000	       33249.156	     282.17	     135.09	     625.48	     136.34	         4.03	            5
        26	   15580000	       60884.621	     235.69	      78.50	     625.48	      78.50	         4.41	            5
        27	   15630000	     1109083.099	     585.72	      44.39	    6402.90	      44.39	         8.35	            8
        28	   15700000	     1167531.718	     560.03	      27.16	    6402.90	      27.16	         8.01	            8
        29	   15750000	       15348.367	     331.22	     214.99	     534.36	     214.99	         5.38	            4
        30	   15800000	       70401.382	     194.63	      42.12	     534.36	      42.12	         5.37	            5
        31	   15830000	      131394.557	     206.41	      31.96	     619.36	      31.96	         5.29	            6
        32	   15910000	       12725.150	     163.33	      53.84	     364.43	      53.84	         5.81	            5
        33	   16700000	         818.088	     434.17	     337.18	     791.02	     337.18	        12.14	            3
        34	   17050001	     4807563.691	     474.84	       5.50	    6558.28	       5.50	         7.33	            9
        35	   17090000	       19818.713	     349.52	      18.86	     617.53	      18.86	         9.62	            5
        36	   17093000	       55972.189	     478.25	     240.43	     811.73	     240.43	         2.88	            5
        37	   17120000	       37021.359	     371.69	     236.38	     660.61	     236.38	         2.66	            4
        38	   17200000	       10867.859	     473.29	     352.25	     895.27	     350.39	         4.19	            4
        39	   17280000	       34759.605	     421.24	     296.21	     895.27	     296.21	         2.56	            5
        40	   17340000	       52321.178	     387.23	     238.06	     895.27	     238.06	         2.84	            5
        41	   17345000	         565.414	     537.30	     458.14	     688.74	     458.14	         3.65	            2
        42	   17350000	        1011.852	     441.80	     295.15	     622.58	     295.15	         6.65	            2
        43	   17730000	      459185.365	     313.11	       8.68	     895.27	       8.68	         4.64	            7
        44	   18200000	       12403.055	     342.38	      15.58	     762.90	      15.47	        11.74	            4
        45	   18250000	        2906.530	     201.57	      77.14	     462.37	      77.14	         7.37	            3
        46	   18280000	        7036.099	     384.26	     307.64	     792.17	     307.64	         8.98	            4
        47	   18420000	        3841.917	     463.82	     317.51	     678.21	     317.51	         3.61	            4
        48	   18460000	      210502.944	     344.40	     183.64	     846.87	     183.64	         3.52	            6
        49	   18650000	       35596.629	     286.93	     186.68	     695.22	     186.68	         5.75	            4
        50	   18850000	      447710.731	     307.15	      88.62	     846.87	      88.62	         4.89	            6
        51	   19100000	        4442.999	     233.39	      34.39	     543.64	      34.39	        14.42	            3
        52	   19150000	       51738.697	     262.13	      32.61	     746.51	      32.61	        11.24	            5
        53	   20050000	       11268.634	     835.99	     511.98	    1375.77	     511.98	        10.53	            4
        54	   20250000	       10632.265	     728.87	     532.33	    1346.03	     532.33	         7.93	            4
        55	   21500000	       22768.353	     650.68	     413.92	    1668.27	     413.92	         6.63	            5
        56	   21850000	       12857.570	     540.62	     319.92	    1045.81	     319.92	         5.57	            5
        57	   22680000	       17074.448	     474.97	     219.11	     883.51	     219.11	         4.06	            4
        58	   22700000	       18185.884	     464.21	     215.69	     883.51	     215.69	         4.10	            4
        59	   22900000	       44276.743	     404.65	     184.01	     883.51	     184.01	         5.50	            5
        60	   23100000	      243388.848	     504.88	     168.38	    1668.27	     168.38	         6.84	            6
        61	   23250000	       10104.609	     334.17	     177.16	     627.22	     177.16	         6.68	            4
        62	   23300000	      276094.686	     477.66	     148.50	    1668.27	     148.50	         6.59	            6
        63	   23600000	      290662.931	     467.78	     126.61	    1668.27	     126.61	         6.53	            6
        64	   23700000	      298710.559	     461.48	     112.97	    1668.27	     112.97	         6.45	            6
        65	   24050000	        2063.671	     771.76	     651.07	     903.35	     651.07	         4.79	            3
        66	   24200000	       18362.283	     637.27	     309.75	    1019.30	     309.75	         6.72	            5
        67	   24500000	        4798.565	     605.39	     395.80	     867.45	     395.80	         8.01	            4
        68	   24700000	       36790.519	     573.11	     288.00	    1019.30	     288.00	         7.03	            5
        69	   24750000	        6428.794	     645.68	     356.28	    1043.44	     357.30	         8.65	            4
        70	   24780000	        1346.458	     648.64	     343.40	    1001.87	     343.40	         7.29	            3
        71	   24800000	       11943.006	     575.24	     291.03	    1043.44	     291.03	         7.73	            5
