CABra dataset - Climate attributes
 
clim_p, clim_tmin, clim_tmax, clim_rh, clim_wind, and clim_srad are the long-term mean precipiation, minimum and maximum temperature, relative humidity, wind speed, and solar radiation in the catchment.
clim_et and clim_pet are the long-term mean actual and potential evapotranspiration in the catchment. clim_pet was calculated with Priestley & Taylor method.
aridity_index and p_seasonality are the aridity index and seasonality of precipitation in the catchment.
clim_quality is the quality of climate data based on data source: 1 = REF climatology; 2 = ENS climatology.
 
  CABra ID	     ANA ID	  clim_p	 clim_tmin	 clim_tmax	  clim_rh	 clim_wind	  clim_srad	  clim_et	 clim_pet	 aridity_index	   p_seasonality	 clim_quality
          	           	      mm	        °C	        °C	        %	     m s¯¹	     MJ m¯²	 mm day¯¹	 mm day¯¹	              	                	             
         1	   13880000	    5.64	     21.61	     30.48	    83.17	      0.82	      16.42	     3.87	     5.04	          0.89	            0.46	            2
         2	   14110000	    8.88	     21.83	     28.60	    86.41	      0.42	      16.24	     4.29	     4.96	          0.56	           -0.28	            2
         3	   14230000	    8.52	     22.18	     29.67	    85.71	      0.60	      15.60	     4.28	     4.81	          0.56	           -0.27	            2
         4	   14250000	    8.86	     22.00	     29.13	    86.26	      0.49	      15.99	     4.29	     4.90	          0.55	           -0.26	            2
         5	   14260000	    7.79	     21.91	     28.80	    85.44	      0.67	      16.14	     4.21	     4.94	          0.63	           -0.27	            2
         6	   14280001	    7.86	     21.94	     28.92	    85.49	      0.67	      16.09	     4.22	     4.93	          0.63	           -0.26	            2
         7	   14300000	    8.21	     22.18	     28.69	    85.98	      0.57	      16.05	     4.28	     4.91	          0.60	           -0.22	            2
         8	   14330000	    8.61	     22.02	     29.24	    86.08	      0.55	      15.95	     4.27	     4.90	          0.57	           -0.24	            2
         9	   14420000	    8.40	     22.09	     29.61	    86.21	      0.58	      15.91	     4.24	     4.89	          0.58	           -0.20	            2
        10	   14495000	    5.59	     22.94	     32.50	    80.93	      0.95	      16.73	     4.08	     5.29	          0.95	           -0.52	            1
        11	   14515000	    5.40	     23.03	     32.55	    80.73	      0.96	      16.75	     3.84	     5.29	          0.98	           -0.57	            1
        12	   14550000	    4.14	     23.24	     32.65	    79.87	      0.98	      16.84	     3.10	     5.39	          1.30	           -0.86	            1
        13	   14680001	    5.47	     22.93	     32.50	    81.16	      0.96	      16.77	     4.07	     5.30	          0.97	           -0.54	            1
        14	   14710000	    5.05	     23.13	     32.62	    80.59	      0.96	      16.79	     3.45	     5.30	          1.05	           -0.68	            1
        15	   15030000	    7.09	     20.30	     28.10	    84.29	      0.67	      16.53	     3.81	     4.99	          0.70	            0.12	            2
