CABra dataset - Soil attributes
 
soil_type is the most common taxonomy of soil.
soil_textclass is the textural class of soil based on the USDA textural classification.
soil_sand, soil_silt and soil_clay are the fraction of sand, silt and clay in the soil, respectively.
soil_carbon is the fraction of organic carbon in the soil.
soil_bulk and soil_depth are the bulk density and depth to the bedrock, respectively.
 
  CABra ID	     ANA ID	       soil_type	  soil_textclass	  soil_sand	  soil_silt	  soil_clay	soil_carbon	  soil_bulk	 soil_depth
          	           	                	                	          %	          %	          %	          ‰	     g cm¯³	          m
         1	   13880000	        Acrisols	            Loam	     16.099	     24.310	     41.247	     34.439	     25.456	      1.335
         2	   14110000	      Ferralsols	 Sandy clay loam	     34.458	     20.575	     57.493	     21.926	     17.609	      1.256
         3	   14230000	      Ferralsols	      Sandy loam	     30.098	     15.378	     61.365	     23.241	     20.530	      1.219
         4	   14250000	      Ferralsols	      Sandy loam	     34.490	     18.457	     58.808	     22.725	     18.612	      1.235
         5	   14260000	      Ferralsols	      Sandy loam	     34.200	     19.372	     58.559	     22.066	     20.859	      1.248
         6	   14280001	      Ferralsols	      Sandy loam	     35.076	     18.982	     58.748	     22.265	     21.090	      1.239
         7	   14300000	      Ferralsols	      Sandy loam	     35.957	     17.682	     59.973	     22.351	     20.609	      1.205
         8	   14330000	      Ferralsols	      Sandy loam	     34.952	     18.273	     58.797	     22.922	     19.571	      1.229
         9	   14420000	      Ferralsols	      Sandy loam	     35.203	     18.495	     57.770	     23.727	     19.660	      1.224
        10	   14495000	      Ferralsols	       Clay loam	     40.831	     32.486	     44.319	     23.197	     19.788	      1.267
        11	   14515000	        Acrisols	 Sandy clay loam	     47.659	     30.222	     46.694	     23.086	     23.638	      1.298
        12	   14550000	        Acrisols	 Sandy clay loam	    103.842	     27.832	     45.503	     26.666	     25.117	      1.306
        13	   14680001	        Acrisols	 Sandy clay loam	     28.553	     32.887	     45.130	     22.004	     20.874	      1.296
        14	   14710000	        Acrisols	 Sandy clay loam	     53.730	     27.534	     50.322	     22.145	     27.538	      1.342
        15	   15030000	        Acrisols	            Loam	     43.348	     24.239	     46.473	     29.287	     21.519	      1.237
        16	   15050000	      Ferralsols	 Sandy clay loam	     15.812	     21.409	     62.221	     16.362	     24.848	      1.365
        17	   15120001	      Ferralsols	 Sandy clay loam	     13.304	     20.203	     62.281	     17.507	     22.580	      1.390
        18	   15250000	      Ferralsols	 Sandy clay loam	     23.574	     23.456	     52.434	     24.106	     24.606	      1.338
        19	   15320002	      Ferralsols	 Sandy clay loam	     31.795	     24.231	     49.680	     26.086	     24.674	      1.310
        20	   15430000	        Acrisols	 Sandy clay loam	     17.100	     26.491	     52.491	     21.041	     18.141	      1.339
        21	   15431000	        Acrisols	 Sandy clay loam	     18.670	     27.400	     52.860	     19.780	     21.492	      1.336
        22	   15432000	        Acrisols	 Sandy clay loam	     20.093	     28.668	     52.092	     19.264	     20.157	      1.325
        23	   15550000	        Acrisols	 Sandy clay loam	     18.745	     30.403	     47.469	     22.133	     23.728	      1.342
        24	   15558000	        Acrisols	 Sandy clay loam	     17.722	     20.030	     62.965	     16.996	     23.606	      1.355
